Package                           Size (KB)        Status
python3-pyatspi                      201        installed
cups-core-drivers                    202        installed
ghostscript-x                        202        installed
libgeocode-glib0                     203        installed
unity-services                       203        installed
python3-debian                       203        installed
libinput10                           204        installed
libvorbis0a                          205        installed
libapt-pkg-perl                      206        installed
apt-transport-https                  206        installed
libwind0-heimdal                     206        installed
libsignon-qt5-1                      208        installed
network-manager-pptp-gnome           208        installed
indicator-bluetooth                  208        installed
update-notifier                      209        installed
libpam0g                             209        installed
libatspi2.0-0                        209        installed
cifs-utils                           209        installed
libapparmor-perl                     210        installed
libportaudio2                        210        installed
python3-cups                         211        installed
libdbus-glib-1-2                     211        installed
qml-module-ubuntu-test               211        installed
libpangomm-1.4-1v5                   212        installed
libpango1.0-0                        212        installed
fwupdate                             212        installed
python3-update-manager               212        installed
dosfstools                           213        installed
liblist-moreutils-perl               213        installed
libatk-bridge2.0-0                   213        installed
debianutils                          213        installed
libunity-settings-daemon1            214        installed
unity-control-center-faces           215        installed
qml-module-ubuntu-layouts            215        installed
ghostscript                          215        installed
desktop-file-utils                   215        installed
libdbusmenu-qt5                      215        installed
libprotobuf-lite9v5                  216        installed
libhtml-parser-perl                  216        installed
libmhash2                            216        installed
libwinpr-dsparse0.1                  217        installed
libwinpr-handle0.1                   217        installed
presage                              217        installed
libwinpr-library0.1                  217        installed
libwinpr-heap0.1                     217        installed
librsvg2-common                      217        installed
qml-module-io-thp-pyotherside        217        installed
libubuntugestures5                   218        installed
iw                                   218        installed
liburi-perl                          219        installed
pm-utils                             219        installed
libcryptsetup4                       219        installed
base-passwd                          219        installed
usb-creator-common                   220        installed
gnome-font-viewer                    220        installed
libcupsfilters1                      220        installed
cups-ppdc                            220        installed
libsasl2-modules                     222        installed
multiarch-support                    222        installed
libwinpr-sysinfo0.1                  222        installed
libwinpr-interlocked0.1              222        installed
libwinpr-environment0.1              222        installed
libgeoip1                            223        installed
xbitmaps                             223        installed
libhogweed4                          223        installed
libatk1.0-0                          223        installed
libwinpr-thread0.1                   223        installed
libsgutils2-2                        224        installed
dmsetup                              225        installed
libgnome-keyring0                    226        installed
hdparm                               226        installed
bsdutils                             226        installed
system-config-printer-common         226        installed
libwinpr-file0.1                     227        installed
qml-module-ubuntu-onlineaccounts     228        installed
mlocate                              228        installed
libwinpr-pool0.1                     228        installed
libreoffice-gnome                    229        installed
libdbusmenu-qt2                      230        installed
gstreamer1.0-pulseaudio              230        installed
libtotem-plparser18                  230        installed
libenchant1c2a                       231        installed
libwinpr-registry0.1                 232        installed
psmisc                               232        installed
libparse-debianchangelog-perl        232        installed
libwinpr-crt0.1                      232        installed
libmailtools-perl                    233        installed
